symbol,score,price,volume_24h,price_change,rsi,mfi,bb_position,timestamp
ADAUSDT,73.33333333333333,0.8386,2354200026.7999997,2.8578437385011535,79.65482491673971,71.19764657176432,1.136787400474772,2024-11-20 17:25:52.909405
GRTUSDT,76.66666666666667,0.2349,690485850.0,4.492882562277578,61.97056991895793,37.60219953129376,0.6858255611896623,2024-11-20 17:26:47.363833
APTUSDT,86.66666666666667,12.83,30853646.350000005,2.5579536370903266,71.25832700612682,74.79720407910763,1.2589420427843603,2024-11-20 17:27:41.796344
ARKMUSDT,73.33333333333333,2.075,73835274.6,2.065912444663076,61.049651115199566,45.28992794562951,1.139969013876836,2024-11-20 17:27:56.660484
BANANAUSDT,73.33333333333333,68.34,893944.246,-0.029256875365701873,79.54170232188757,96.01647979068514,1.0122889220921354,2024-11-20 17:28:20.578620
APTUSDT,91.66666666666667,12.89,31141536.180000003,3.03756994404476,71.90837930865722,76.07583173855149,1.2786557662079934,2024-11-20 17:34:02.877622
DOTUSDT,81.66666666666667,6.049,62931916.800000004,0.9849749582637735,65.76445628012897,65.7036033790906,1.2614828479262366,2024-11-20 17:43:35.708235
CHESSUSDT,90.0,0.1661,111025752.30000001,4.334170854271346,58.70485154400215,42.56146939246307,0.9215521395254462,2024-11-20 17:44:23.037310
CLVUSDT,81.66666666666667,0.11426,6370734527.699999,11.953752694493435,69.44257254375835,84.81423016788379,1.0497799276326298,2024-11-20 17:46:52.221240
AVAXUSDT,71.66666666666667,35.53,17241008.58,2.1270480022995253,64.3213786888718,49.666842603808995,1.168738276638297,2024-11-20 17:50:47.035503
CLVUSDT,80.0,0.11429,6385550354.799999,11.983147168332353,69.4548851498751,85.17493151779331,1.0501807500178078,2024-11-20 17:51:13.784484
CHESSUSDT,90.0,0.1671,120921047.10000001,4.962311557788945,60.364998051974084,69.70472434342709,0.9950707714070283,2024-11-20 17:51:25.612847
ACAUSDT,81.66666666666667,0.1002,3274115901.189999,8.913043478260875,72.22140970744539,94.2883241883222,1.1582396327260422,2024-11-20 17:51:38.436881
APTUSDT,93.33333333333333,13.26,32262655.270000003,5.995203836930463,75.3468070735158,80.15182514222847,1.372153186716655,2024-11-20 17:51:46.668741
KSMUSDT,78.33333333333333,21.15,1015686.8439999999,2.075289575289574,53.830663804748724,46.656785473121545,0.8051741313085593,2024-11-20 17:53:18.551914
ARBUSDT,71.66666666666667,0.7039,680172020.5,2.073665893271448,59.20384857678383,41.04283841523226,1.0661611867726402,2024-11-20 17:54:32.466535
EDUUSDT,71.66666666666667,0.517,36000899.0,1.751623696122806,55.84720756509939,39.474160054065784,0.81171485206762,2024-11-20 17:57:10.504478
POLUSDT,73.33333333333333,0.4531,706109066.6,4.78723404255319,64.04614445236673,55.63311296582826,1.2838075914237366,2024-11-20 17:57:40.681190
PONDUSDT,81.66666666666667,0.01785,9730322551.89,6.186793575252847,61.57808234336159,69.32221668477796,1.167328283222128,2024-11-20 17:58:52.533804
CLVUSDT,81.66666666666667,0.12759,6212979459.000001,2.556064625030152,74.67624072752508,90.22272407750535,0.9861338632491717,2024-11-20 20:01:47.356916
LUMIAUSDT,72.66666666666667,1.484,76428129.47999999,3.2707028531663074,77.25318557472386,74.07740222538601,0.9075124197985411,2024-11-20 20:08:19.433292
XTZUSDT,80.0,1.1,218571635.5,2.4208566108007368,61.226275705683044,66.32984477728525,1.0670575584873028,2024-11-20 20:08:52.537066
XLMUSDT,70.0,0.2552,4083367192.0,2.531137002812356,69.01882100539729,82.48811512479595,1.2589296011077133,2024-11-20 20:18:40.915089
LUMIAUSDT,86.66666666666667,1.524,77620511.93999998,6.054279749478075,79.0901774731332,74.89868528375185,0.9642824899009922,2024-11-20 20:21:10.374258
RADUSDT,83.33333333333333,1.356,24236664.100000005,2.7272727272727337,69.29756208164305,83.84524360828158,1.3399820434581728,2024-11-20 20:27:57.243293
VICUSDT,73.33333333333333,0.392,84270335.70000002,0.6160164271047153,60.261508129472,81.53776352242264,1.0224431330715915,2024-11-20 20:28:41.827732
FARMUSDT,93.33333333333333,54.87,1414651.7429999998,4.216524216524209,62.560717839828996,81.09587899222261,1.1524129689994913,2024-11-20 20:34:07.968685
SNTUSDT,88.33333333333333,0.03568,790963110.0,2.352266207687892,64.0204814692186,83.32126899550404,1.0251004003779165,2024-11-20 20:34:53.924240
CREAMUSDT,78.33333333333333,17.87,608073.52,2.3482245131729584,77.43651722435007,91.80324575562032,1.2748214289233641,2024-11-20 20:38:09.372902
HFTUSDT,73.33333333333333,0.1862,118374448.60000001,2.7027027027027195,64.94707846717411,53.826291805725,1.1764758267426842,2024-11-20 20:41:03.948075
PSGUSDT,73.33333333333333,2.652,1625863.31,1.1441647597254079,57.28054399467063,61.83031650222174,1.0932945240018797,2024-11-20 20:48:43.764686
DGBUSDT,98.33333333333333,0.0098,1973817417.2999997,4.255319148936154,71.90242495001327,79.5724204631115,1.2201567201863914,2024-11-20 20:59:29.975392
